club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
Hannover 96,1968-02-12,Helmut Kronsbein,Senior,Bundesliga,1,True,0.85,
B. Neunkirchen,1966-06-30,Helmut Schneider,Senior,Oberliga Südwest,1,True,0.8,
SF Saarbrücken,1963-06-30,Kurt Sommerlatt,Senior,Oberliga Südwest,1,True,0.8,
AC Bellinzona,1961-06-30,Hugo Fronauer,Senior,Nationalliga B,2,True,0.8,
Fellows ZH,1959-06-30,Jimmy McDowall,Senior,Football League Third Division,3,True,0.85,
SV Holzwickede,1984-03-06,Heinz Grundei,Senior,Oberliga Westfalen,3,True,0.8,
SV Holzwickede,1978-06-30,Heinz Höher,Senior,Oberliga Westfalen,3,True,0.8,
Bor. Dortmund,1974-06-30,Helmut Schmidt,Senior,Bundesliga,1,True,0.8,
Bor. Dortmund,1973-06-30,Hermann Eppenhoff,Senior,Bundesliga,1,True,0.8,
RW Oberhausen,1987-06-30,Friedhelm Konietzka,Senior,2. Bundesliga,2,True,0.8,
RW Essen,1984-02-26,Willi Betz,Senior,2. Bundesliga,2,True,0.8,
Lierse SK,1982-06-30,Hannes Coremans,Senior,Belgian First Division,1,True,0.8,
Lierse SK,1977-06-30,Humberto Fernández,Senior,Belgian First Division,1,True,0.8,
Wuppertaler SV,1975-06-30,Willi Katner,Senior,2. Bundesliga,2,True,0.8,
Bor. Dortmund,1974-02-14,Hermann Eppenhoff,Senior,Bundesliga,1,True,0.8,
Lierse SK,1973-06-30,Humberto Fernández,Senior,Belgian First Division,1,True,0.8,
RW Essen,1972-06-30,Willibald Hahn,Senior,Regionalliga West,2,True,0.8,
Kansas City Sp.,1969-12-31,Eddie Bingham,Senior,North American Soccer League,1,True,0.8,
Malta,1966-12-31,,,,,,,InternalServerError
Sliema Wander.,1966-06-30,János Bédl,Senior,Maltese Premier League,1,False,,
Bor. Dortmund,1973-04-29,Hermann Eppenhoff,Senior,Bundesliga,1,True,0.8,
1.FC Paderborn,1981-06-30,Günter Exner,Senior,Oberliga Westfalen,Third Tier,True,0.8,
Erkenschwick,1980-04-21,Willi Nesensohn,Senior,Oberliga Westfalen,3,True,0.8,
Teutonia Lippstadt,1977-06-30,Heinz Hornig,Senior,Oberliga Westfalen,3,True,0.8,
Pr. Münster,1975-09-03,Hermann Michel,Senior,2. Bundesliga,2,True,0.85,
Bonner SC,1975-06-30,Hermann Eppenhoff,Senior,Regionalliga West,2,False,,
Bor. Dortmund,1973-04-30,Hermann Eppenhoff,Senior,Bundesliga,1,True,0.8,
B. Dortmund II,1973-02-28,Helmut Schmidt,Reserve,Regionalliga West,3,False,,
VfL Bochum,1970-06-30,Hubert Schieth,Senior,Bundesliga,1,True,0.8,
VfL Bochum U19,1970-06-30,Herbert Erdmann,Youth,A-Junioren Bundesliga West,U19,False,,
