club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
Pescara,1943-06-30,Giuseppe Moretti,Senior,Serie B,2,True,0.8,
Bari,1941-06-30,Giovanni Battista Fabbri,Senior,Serie A,1,True,0.8,
Ravenna,1960-06-30,Mario Sperone,Senior,Serie C,Third Tier,False,0.0,
Novara,1955-06-30,Giovanni Varglien,Senior,Serie A,1,True,0.8,
SPAL,1954-06-30,Giuseppe Kieffu,Senior,Serie B,2,False,0.0,
US Carrarese PB,1949-06-30,Giuseppe Galluzzi,Senior,Serie C,Third Tier,False,0.0,
Pro Vercelli,1948-06-30,Giuseppe Galluzzi,Senior,Italian Serie B,2,False,0.0,
AC Torino,1944-06-30,Pietro Piselli,Senior,Serie A,1,True,0.8,
Varese,1942-06-30,Giuseppe Viani,Senior,Serie B,2,True,0.8,
Varese,1939-06-30,Giuseppe Galluzzi,Senior,Serie C,3,True,0.8,
Reggiana,1947-12-22,Giuseppe Galluzzi,Senior,Serie B,2,True,0.8,
AC Torino,1940-06-30,Pietro Piselli,Senior,Serie A,1,True,0.8,
Novara,1939-06-30,Ferruccio Mazzola,Senior,Italian Serie B,2,False,0.0,
Napoli,1938-01-03,Adolfo Baloncieri,Senior,Italian Football Championship,1,True,0.8,
Messina,1936-06-30,Giovanni Battista Reina,Senior,Serie B,2,True,0.8,
Atalanta,1935-06-30,Piero Steinbeck,Senior,Italian Football Championship,1,False,0.0,
Casale,1933-03-18,Ferruccio Novo,Senior,Italian Football Championship,1,True,0.8,
US Carrarese,1929-06-30,Giuseppe Moretti,Senior,Italian Football Championship,Seconda Divisione,False,0.0,
Casale,1928-06-30,Ferruccio Novo,Senior,Italian Football Championship,First Tier,True,0.8,
Casale,1926-06-30,Ferruccio Novo,Senior,Italian Football Championship,1,True,0.8,
Fenerbahce,1969-06-30,László Székely,Senior,Süper Lig,1,True,0.8,
Vefaspor,1966-02-06,Mehmet Ali Usta,Senior,Turkish Second Football League,2,False,0.0,
M. Tel Aviv,1962-06-30,Gottlieb Städt,Senior,Israeli Premier League,1,True,0.8,
H. Petah Tikva,1961-06-30,Yosef Merimski,Senior,Israeli Premier League,1,True,0.8,
Fenerbahce,1960-01-18,László Székely,Senior,Süper Lig,1,True,0.8,
Fenerbahce,1948-06-30,Žarko Mihajlović,Senior,Turkish Football Championship,1,False,0.0,
AC Torino,1939-06-30,Pietro Piselli,Senior,Serie A,1,True,0.8,
Xerxes,1938-12-31,Jimmy Hogan,Senior,English First Division,1,False,0.0,
Royal Antwerp,1936-06-30,Félix Wellens,Senior,Belgian First Division,1,False,0.0,
Quick DH,1933-12-31,Félix Paquay,Senior,Belgian First Division,1,False,0.0,
Xerxes,1933-06-30,William Townley,Senior,English Football League Third Division South,3,True,0.8,
Willem II,1932-06-30,J. van der Meer,Senior,Eerste Klasse,1,True,0.8,
Hungária FC,1940-06-30,Ferenc Puskás,Senior,Hungarian League,1,False,0.0,
AC Torino,1938-01-17,Pietro Piselli,Senior,Serie A,1,False,0.0,
Ambrosiana-Inter,1936-03-29,Armando Castellacci,Senior,Italian Football Championship,1,False,0.0,
Palermo,1934-06-30,Giovanni Battista Galluzzi,Senior,Serie B,2,True,0.8,
Fiorentina,1931-06-30,Gyula Kertész,Senior,Italian Football Championship,1,True,0.8,
Juventus Buk.,1930-06-30,William Frey,Senior,Italian Football Championship,1,True,0.8,
Hungária FC,1928-06-30,József Egressy,Senior,Hungarian League,First Tier,False,0.0,
Bremer SV,1926-06-30,Hans Scherpenberg,Senior,Oberliga Nord,2,False,0.0,
SC Union 03,1924-06-30,Friedrich Müller,Senior,German Oberliga,Tier 1,False,0.0,
Napoli,1939-01-29,Adolfo Baloncieri,Senior,Italian Football Championship,1,True,0.8,
Torino,1934-06-30,Pietro Lana,Senior,Italian Football Championship,1,False,0.0,
Cremonese,1927-06-30,Ferruccio Quargnali,Senior,Italian Football Championship,1,True,0.8,
Torino,1933-11-06,Pietro Maroso,Senior,Italian Football Championship,1,True,0.8,
Pro Patria,1930-12-22,Ferruccio Novo,Senior,Italian Football Championship,Tier 1,True,0.8,
Alessandria,1926-06-30,Ferruccio Quaglia,Senior,Italian Football Championship,Tier 1,True,0.8,
Livorno,1935-02-10,Giovanni Battistoni,Senior,Serie B,2,True,0.8,
Alessandria,1934-06-30,Giovanni Battista Rebaudengo,Senior,Serie B,2,False,0.0,
Torino,1933-05-21,Pietro Maroso,Senior,Italian Football Championship,1,False,0.0,
Torino,1932-06-30,Pietro Lana,Senior,Italian Football Championship,1,False,0.0,
Torino,1931-06-30,Pietro Lana,Senior,Italian Football Championship,1,False,0.0,
Alessandria,1936-12-27,Vittorio Mosele,Senior,Serie B,2,False,0.0,
Livorno,1935-06-30,Giovanni Battistoni,Senior,Serie B,2,True,0.8,
Lazio,1934-04-29,Adolfo Baloncieri,Senior,Italian Football Championship,1,False,0.0,
