club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
SEC Bastia,1986-06-30,Jean-Michel Cavalli,Senior,Ligue 2,Second Tier,False,0.0,
SEC Bastia,1985-10-01,Robert Nouzaret,Senior,Ligue 1,1,True,0.8,
AS Nancy,1980-06-30,Jean-Michel Attevêts,Senior,Ligue 1,1,False,0.0,
AS Magenta,2011-12-31,Jean-Claude Eriba,Senior,Tahiti Ligue 1,1,False,0.0,
MO Béjaïa,2007-06-30,Mohamed Hamdani,Senior,Algerian Ligue 1,1,False,0.0,
AS Lyon-Duchère,2006-09-30,Jean-Louis Garcia,Senior,French Ligue 2,Second Tier,True,0.8,
Jeanne d'Arc,2002-06-30,Jean-Luc,Senior,French Ligue 2,Second Tier,True,0.8,
Cannes,1989-06-30,Jean-Michel Larqué,Senior,French Division 2,Second Tier,False,0.0,
SEC Bastia,1986-02-01,Jean-Michel Cavalli,Senior,Ligue 2,Second Tier,True,0.8,
US Orléans 45,1991-06-30,Jean-Luc Kotanyi,Senior,French Division 2,Second Tier,True,0.8,
AS Gien,1989-06-30,Jean-Luc Girard,Senior,French Division 3,3,True,0.8,
AS Béziers,1984-06-30,Jean-Michel de Vienne,Senior,Ligue 2,Second Tier,True,0.8,
Olympique Lyon,1981-11-22,Marius Tardieu,Senior,Ligue 1,1,True,0.8,
SEC Bastia,1980-06-30,Jean-Michel Cavalli,Senior,Ligue 2,2,True,0.8,
US Valenciennes,1979-06-30,Jean-Bernard Jaquin,Senior,Ligue 2,2,False,0.0,
Marseille,1985-06-30,Abel Brault,Senior,Ligue 1,1,True,0.8,
Toulouse,1984-02-01,Jean-Michel Larqué,Senior,Ligue 2,2,True,0.8,
SEC Bastia,1979-06-30,Jean-Michel Larqué,Senior,Ligue 2,Second Tier,False,0.0,
GFCO Ajaccio,1971-12-01,Jean-Michel Mouton,Senior,French Division 2,2,False,0.0,
Wydad AC,1986-10-01,Mohamed Fakhir,Senior,Botola,1,True,0.8,
Rennes,1984-06-30,Jean-François Jardin,Senior,Ligue 2,2,True,0.8,
FC Nantes,1982-03-03,Jean-Claude Suaudeau,Senior,Ligue 1,1,False,,
FC Lorient,1976-06-30,Jean-Pierre Garnier,Senior,French Division 2,2,False,0.0,
SEC Bastia,1971-10-31,Jean-Louis Schuth,Senior,Ligue 2,Second Tier,True,0.8,
Chaux-de-Fonds,1970-11-10,Bobby Kemp,Senior,Swiss Super League,1,True,0.8,
SM Caen,1967-06-30,Jean Vincent,Senior,French Division 2,2,False,,
FC Sète 34,1978-06-30,Jean-Louis Schuth,Senior,French Division 2,2,False,0.0,
SEC Bastia,1970-11-30,Jean-Louis Schuth,Senior,Ligue 2,Second Tier,True,0.8,
SEC Bastia,1966-06-30,Jean-Louis Campora,Senior,French Division 1,1,False,0.0,
SEC Bastia,1964-06-30,Jean-Louis Campora,Senior,French Division 1,1,False,0.0,
FC Metz,1963-06-30,Jean-Louis Schvartz,Senior,French Division 1,1,False,0.0,
SEC Bastia,1970-11-01,Jean-Louis Schuth,Senior,Ligue 2,Second Tier,False,0.0,
CS Hammam-Lif,1969-06-30,Mohamed Ben Ahmed,Senior,Tunisian Ligue 1,1,True,0.8,
USC Corte,1966-06-30,Juan Carlos Lorenzo,Senior,Spanish Segunda División,2,True,0.8,
Union SG,1964-06-30,Félix Waseige,Senior,Belgian First Division,1,False,0.0,
Cercle Brugge,1962-06-30,Félix Wellens,Senior,Belgian First Division,Tier 1,False,,
ARA Gent,1958-06-30,Bertil Persson,Senior,Belgian First Division,Tier 1,False,0.0,
Le Havre AC,1955-06-30,Jean Baratte,Senior,French Division 1,1,False,0.0,
Stade Français,1953-12-01,Jean Schické,Senior,French Division 1,1,True,0.8,
ARA Gent,1951-06-30,Bastiaan Muller,Senior,Belgian First Division,Tier 1,True,0.8,
Red Star Ol.,1946-06-30,Dimitrije Pajović,Senior,Yugoslav First League,1,False,0.0,
Rouen,1945-06-30,Jean Prouff,Senior,French Division 1,1,False,0.0,
EF Rouen-Norm.,1944-06-30,Jean Prouff,Senior,French Division 2,2,True,0.8,
Nejmeh SC,1998-06-30,Fouad Al-Youney,Senior,Lebanese Premier League,1,False,0.0,
AS Marsa,1993-06-30,Giovanni Bonucci,Senior,Maltese Premier League,1,False,0.0,
AS Marsa,1982-06-30,Giovanni Vella,Senior,Maltese Premier League,1,False,0.0,
SEC Bastia,1970-08-01,Jean-Louis Schuth,Senior,Ligue 2,Second Tier,False,0.0,
SEC Bastia,1969-02-01,Jean-Louis Schuth,Senior,Ligue 2,Second Tier,True,0.8,
Olympique Lyon,1966-06-30,Marius Tassy,Senior,French Division 1,1,False,0.0,
Le Havre AC,1962-06-30,Jean Fauvergue,Senior,French Division 1,1,False,0.0,
CS Sedan,2023-06-30,Fabrice Hériteau,Senior,French National 2,4,False,0.0,
LB Châteauroux,2020-12-31,Régis Brouwers,Senior,Ligue 2,2,True,0.8,
LB Châteauroux,2018-10-24,Régis Brouwers,Senior,Ligue 2,Second Tier,True,0.8,
Grenoble,2015-06-16,Pascal Dupraz,Senior,Ligue 2,2,True,0.8,
Grenoble B,2011-07-06,Bernard Rives,Reserve,French Fourth Division,4,True,0.8,
CS Sedan,2021-01-24,Fabrice Hériteau,Senior,Ligue 2,2,True,0.8,
CS Sedan,2016-01-06,Fabien Debec,Senior,Ligue 2,Second Tier,True,0.8,
CS Sedan,2013-06-30,Fabrice Vandeputte,Senior,Ligue 2,2,True,0.8,
FC Rouen B,2006-06-30,Jean-Luc Fournier,Reserve,CFA,5,False,0.0,
FC Rouen 1899,2006-06-30,Jean-Luc Kotanyi,Senior,Ligue 2,Second Tier,False,0.0,
Levallois SC,2004-06-30,Jean-Luc Fournier,Senior,French Ligue 2,Second Tier,True,0.8,
Levallois SC,2004-04-01,Jean-Luc Fournier,Senior,French National,3,True,0.8,
Levallois SC,2002-06-30,Jean-Luc Fournier,Senior,French Ligue 2,Second Tier,True,0.8,
Levallois SC,2001-12-01,Jean-Luc Fournier,Senior,French National Championship,3,True,0.8,
AS Red Star 93,2001-06-30,Ljubisa Broc,Senior,First League of FR Yugoslavia,1,True,0.8,
SC Toulon 83,1996-06-30,Jean-Luc Laurent,Senior,French Ligue 2,Second Tier,False,0.0,
Angers SCO,1995-06-30,Jean-Michel Vanucci,Senior,Ligue 2,2,True,0.8,
AS Red Star 93,1993-06-30,Dušan Bajević,Senior,First League of FR Yugoslavia,1,False,0.0,
CS Sedan,2020-12-08,Fabrice Hériteau,Senior,French National 2,4,False,,
US Saint-Malo,2020-05-01,Jean-Luc Fournier,Senior,French National 2,4,True,0.8,
Endoume,2019-06-01,Jean-Luc Fournier,Senior,French National 3,5,True,0.8,
AC Arles,2017-03-14,Jean-Michel Cavalli,Senior,French Ligue 2,Second Tier,True,0.8,
AC Arles-Avignon,2016-06-30,Christian Brault,Senior,Ligue 2,2,True,0.8,
Valenciennes FC,2023-06-30,Olivier Guitta,Senior,Ligue 2,2,True,0.8,
Marseille U19,2022-06-30,André Pinto,Youth,French Youth League,Youth,False,0.0,
CS Sedan,2020-04-27,Fabrice Hériteau,Senior,Ligue 2,2,True,0.8,
FC Metz U19,2018-06-30,Pierre Mignot,Youth,France - U19,Youth,False,0.0,
AJ Auxerre U19,2016-06-30,Jean-Luc Sassus,Youth,France - Coupe Gambardella,Youth,False,0.0,
AJ Auxerre B,2014-06-30,Jean-Luc Fournier,Reserve,CFA 2,5,False,0.0,
CS Sedan U19,2013-06-30,Jean-Luc Fournier,Youth,Ligue Régionale,Regional,False,0.0,
US Orléans,2023-06-30,Pierre Fernandes,Senior,Ligue 2,2,True,0.8,
Nîmes Olympique,2022-11-16,Pascal Plancque,Senior,Ligue 1,1,True,0.8,
LB Châteauroux,2020-12-13,Régis Brouwers,Senior,Ligue 2,2,True,0.8,
Athl. Marseille,2018-10-08,,,,,,,"9 validation errors for Spells
club_name
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
team_level
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
manager
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
end_of_spell
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
start_of_spell
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
league
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
tier
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
sacked
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
probability_of_sacking_true
  Field required [type=missing, input_value={'data': [{'club_name': '...of_sacking_true': 0.8}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing"
CS Sedan,2018-06-30,Fabrice Hériteau,Senior,Ligue 2,2,True,0.8,
GS Consolat M.,2016-08-31,Jordi Condom,Senior,Tercera División,4,True,0.8,
FC Istres,2014-10-27,Patrick Léon,Senior,Ligue 2,2,True,0.8,
AS Béziers,2021-11-15,Serge Lenoir,Senior,Ligue 2,2,True,0.8,
Limoges FC,2019-06-30,Jean-Marc Furlan,Senior,Ligue 2,Second Tier,True,0.8,
CS Sedan,2016-11-07,Fabrice Hériteau,Senior,Ligue 2,2,True,0.8,
AFC Tubize,2016-06-30,Jean-Louis Gateau-Legarnec,Senior,Belgian Third Division,Third Tier,True,0.8,
Wasquehal,2012-06-30,Jean-Luc Vasseur,Senior,French Ligue 2,Second Tier,True,0.8,
RC Lens U19,2011-06-30,Laurent Roussey,Youth,France - U19,Youth,False,0.0,
Lens,2011-01-02,László Bölöni,Senior,Ligue 2,2,True,0.8,
RC Lens B,2010-06-30,László Bölöni,Senior,Ligue 1,1,True,0.8,
Lens,2007-06-30,Elie Baup,Senior,Ligue 1,1,True,0.8,
RC Lens B,2006-06-30,László Bölöni,Senior,Ligue 1,1,False,0.0,
ES Sahel,2022-03-06,Nabil Maâloul,Senior,Ligue 1,1,True,0.8,
