club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
FC Wismut Aue,1991-06-30,Jürgen Böhme,Senior,DDR-Oberliga,1,True,0.8,
SSV Ulm 1846,1989-02-28,Lothar Buchmann,Senior,Oberliga Baden-Württemberg,3,True,0.8,
FSV Salmrohr,1988-04-18,Werner Biskup,Senior,2. Bundesliga,2,True,0.8,
USA,2014-07-30,Mike Petke,Senior,MLS,1,True,0.8,
B. Leverkusen,2001-05-20,Christoph Daum,Senior,Bundesliga,1,True,0.85,
Bursaspor,2014-03-25,İrfan Buz,Senior,Süper Lig,1,True,0.85,
Club Brugge,2012-06-30,Adrie Koster,Senior,Belgian Pro League,1,True,0.8,
E. Frankfurt,2011-05-16,Michael Skibbe,Senior,Bundesliga,1,True,0.85,
Fenerbahce,2010-07-08,Christoph Daum,Senior,Süper Lig,1,True,0.85,
1.FC Köln,2009-06-30,Cristoph Daum,Senior,Bundesliga,1,True,0.85,
Fenerbahce,2006-07-14,Christoph Daum,Senior,Süper Lig,1,True,0.85,
Besiktas,2002-06-30,Christoph Daum,Senior,Süper Lig,1,True,0.8,
B. Leverkusen,2000-10-23,Christopher Daum,Senior,Bundesliga,1,True,0.85,
Besiktas,1996-06-30,Christoph Daum,Senior,Süper Lig,1,True,0.8,
VfB Stuttgart,1993-12-09,Christopher Daum,Senior,Bundesliga,1,True,0.85,
1.FC Köln,1990-06-30,Erich Rutemöller,Senior,Bundesliga,1,True,0.85,
1.FC Köln,1986-09-22,Georges Kessler,Senior,Bundesliga,1,True,0.85,
1.FC Köln II,1985-06-30,Hannes Löhr,Reserve,Oberliga Nordrhein,3,False,,
Bor. Dortmund,2022-12-07,Edin Terzić,Senior,Bundesliga,1,False,,
FC Schalke 04,2022-06-30,Mike Büskens,Senior,Bundesliga,1,False,,
Alem. Aachen,2020-02-29,Fuad Đulić,Senior,Regionalliga West,4,True,0.85,
Bayern Munich,2019-06-30,Niko Kovač,Senior,Bundesliga,1,True,0.85,
F. Düsseldorf,2017-10-08,Friedhelm Funkel,Senior,2. Bundesliga,2,True,0.85,
F. Düsseldorf,2015-12-22,Torsten Frings,Senior,2. Bundesliga,2,True,0.85,
F. Düsseldorf,2015-12-09,Torsten Frings,Senior,2. Bundesliga,2,True,0.85,
F. Düsseldorf,2015-11-23,Torsten Frings,Senior,2. Bundesliga,2,True,0.85,
Hamburger SV,2015-04-14,Josef Zinnbauer,Senior,Bundesliga,1,True,0.85,
FC Schalke 04,2014-10-07,Jens Keller,Senior,Bundesliga,1,True,0.85,
1.FC Nuremberg,2009-06-30,Michael Oenning,Senior,Bundesliga,1,True,0.85,
B. Leverkusen,2008-09-07,Michael Skibbe,Senior,Bundesliga,1,True,0.85,
Leverkusen II,2003-05-13,Wolfgang Rolff,Reserve,Regionalliga Nord,3,False,,
Leverkusen II,2001-06-30,Jürgen Gelsdorf,Reserve,Regionalliga Nord,III,False,,
B. Leverkusen,2008-06-30,Michael Skibbe,Senior,Bundesliga,1,True,0.85,
B. Leverkusen,1996-06-30,Erich Ribbeck,Senior,Bundesliga,1,True,0.8,
B. Leverkusen,1996-05-13,Erich Ribbeck,Senior,Bundesliga,1,True,0.85,
B. Leverkusen,1996-04-27,Dragoslav Stepanović,Senior,Bundesliga,1,True,0.85,
B. Leverkusen,1995-04-10,Dragoslav Stepanović,Senior,Bundesliga,1,True,0.85,
B. Leverkusen,1995-04-05,Dragoslav Stepanović,Senior,Bundesliga,1,True,0.85,
B. Leverkusen,1991-06-30,Jürgen Gelsdorf,Senior,Bundesliga,1,True,0.8,
B. Leverkusen,1991-05-30,Jürgen Gelsdorf,Senior,Bundesliga,1,True,0.8,
SC Jülich 1910,1989-06-30,Wolfgang Jerat,Senior,Oberliga Nordrhein,3,True,0.8,
B. Leverkusen,2015-12-31,Roger Schmidt,Senior,Bundesliga,1,True,0.85,
RW Essen,2005-04-24,Uwe Neuhaus,Senior,Regionalliga Nord,3,True,0.85,
VfL Osnabrück,2003-06-30,Klaus-Dieter Pagels,Senior,2. Bundesliga,2,True,0.8,
F. Düsseldorf,2000-06-30,Jürgen Röber,Senior,2. Bundesliga,2,True,0.85,
FC Gütersloh,1999-06-30,Eugen Hachmeister,Senior,2. Bundesliga,2,True,0.8,
KFC Uerdingen,1998-09-28,Herbert Neumann,Senior,2. Bundesliga,2,True,0.85,
Fortuna Köln,1997-05-20,Gerd Roggensack,Senior,2. Bundesliga,2,True,0.8,
VfL Bochum,1995-06-30,Jürgen Gelsdorf,Senior,Bundesliga,1,True,0.8,
Bor. M'gladbach,1992-11-05,Jürgen Gelsdorf,Senior,Bundesliga,1,True,0.85,
B. Leverkusen,1989-04-12,Erich Ribbeck,Senior,Bundesliga,1,True,0.8,
Leverkusen Yth.,1988-06-30,Willibert Kremer,Youth,Bundesliga Youth,Youth,False,,
Wermelskirchen,2014-06-30,Thomas Brdarić,Senior,Oberliga Niederrhein,5,False,,
