club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
Hércules CF,1943-06-30,Juan José Nogués,Senior,La Liga,1,True,0.8,nan
Deportivo Coruña,1947-06-30,Pedro Escobar,Senior,La Liga,1,False,0.0,nan
Deportivo Coruña,1940-06-30,Pedro Díaz,Senior,La Liga,1,True,0.8,nan
Deportivo Coruña,1945-06-30,Pedro Escobar,Senior,La Liga,1,False,0.0,nan
Ceuta,1943-06-30,Juan José Nogués,Senior,Spanish Segunda División,2,True,0.8,nan
Ath. Aviación,1940-12-02,Juan Pedro Fabra,Senior,Argentine Primera División,1,True,0.8,nan
Deportivo Coruña,1943-06-30,Pedro Escobar,Senior,La Liga,1,False,0.0,nan
Deportivo Coruña,1942-06-30,Pedro Escobar,Senior,La Liga,1,False,0.0,nan
Sabadell,1963-02-20,Joaquim Riera,Senior,Tercera División,4,False,0.0,nan
San Andrés,1960-06-30,Juan Carlos Corro,Senior,Spanish Segunda División,2,False,0.5,nan
Tenerife,1954-12-05,Juan Hernández,Senior,Spanish Segunda División,2,False,0.0,nan
San Andrés,1954-06-30,Juan Carlos,Senior,Spanish Segunda División,2,True,0.8,nan
San Andrés,1952-06-30,Juan Carlos Corro,Senior,Spanish Segunda División,2,False,0.5,nan
Ferrol,1951-06-30,Juan Villalonga,Senior,Spanish Segunda División,2,True,0.8,nan
Zaragoza,1950-06-30,Juan Hernández,Senior,La Liga,1,True,0.8,nan
Español,1947-06-30,Mango,Senior,La Liga,1,False,0.0,nan
San Andrés,1946-06-30,Juan José Nogués,Senior,Tercera División,4,False,0.0,nan
Valladolid,1944-06-30,Juan José Nogués,Senior,La Liga,1,False,0.0,nan
Real Murcia,1942-06-30,Juan José Nogués,Senior,Segunda División,2,True,0.8,nan
FC Barcelona,1941-06-30,Joaquim Peris,Senior,La Liga,1,True,0.8,nan
Racing Ferrol,1939-06-30,Juan Villalonga,Senior,Tercera División,3,True,0.8,nan
Zaragoza,1936-06-30,Pedro Planas,Senior,La Liga,1,False,0.0,nan
Arenas Club,1935-06-30,Juan Armet,Senior,La Liga,1,True,0.8,nan
Deportivo Coruña,1934-06-30,Pedro Díaz,Senior,La Liga,1,False,0.0,nan
Celta de Vigo,1932-06-30,Pedro Díaz,Senior,La Liga,1,False,0.0,nan
Real Murcia,1931-06-30,Juan José Nogués,Senior,Segunda División,2,True,0.8,nan
Arenas Club,1930-06-30,Juan Aramburu,Senior,La Liga,1,True,0.8,nan
Racing Ferrol,1929-06-30,Juan Villar,Senior,Tercera División,4,False,0.0,nan
UD Salamanca,1944-06-30,Juan José Nogués,Senior,Segunda División,2,False,,nan
Santander,1936-06-30,Juan de Azcárate,Senior,La Liga,1,True,0.8,nan
Zaragoza,1935-06-30,Pedro Planas,Senior,La Liga,1,False,0.0,nan
Nacional Madrid,1932-06-30,Pedro Luis,Senior,Spanish Segunda División,2,True,0.8,nan
Deportivo Coruña,1930-06-30,Pedro Díaz,Senior,La Liga,1,False,0.0,nan
Unknown,1929-06-30,Harry Curtis,Senior,The Football League,Second Division,False,0.0,nan
Castellón,1947-06-30,Juan José Nogués,Senior,Tercera División,4,False,0.0,nan
Valencia,1936-06-30,Andrés García Navajas,Senior,La Liga,1,True,0.8,nan
Castellón,1933-06-30,Juan José Nogués,Senior,Tercera División,3,False,,nan
Deportivo Coruña,1929-06-30,Pedro Díaz,Senior,La Liga,1,False,0.0,nan
RC Celta,1927-06-30,Pedro Díaz,Senior,La Liga,1,False,0.0,nan
Barcelona,2024-06-30,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Ronald Koeman"",\n    ""end_of_spell"": ""2021-10-27"",\n    ""start_of_spell"": ""2021-08-19"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Xavi Hernández"",\n    ""end_of_spell"": ""2022-11-06"",\n    ""start_of_spell"": ""2021-05-06"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.2\n  }'}}"
Al-Sadd SC,2021-11-05,Xavi Hernández,Senior,Qatar Stars League,1,False,0.0,nan
Barcelona B,2022-06-30,Juan Carlos,Reserve,Segunda División B,3,False,0.0,nan
Barcelona,2021-11-07,Ronald Koeman,Senior,La Liga,1,True,0.8,nan
Barcelona B,2021-10-27,Juan Carlos,Reserve,Segunda División B,Third Tier,False,0.0,nan
ZJ Greentown,2019-07-03,Wang Baoshan,Senior,Chinese Super League,1,True,0.8,nan
RCD Mallorca,2017-06-30,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""RCD Mallorca"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Luis Enrique"",\n    ""end_of_spell"": ""2017-06-30"",\n    ""start_of_spell"": ""2005-01-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": null\n  },\n  {\n    ""club_name"": ""RCD Mallorca"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Gregorio Manzano"",\n    ""end_of_spell"": ""2010-12-23"",\n    ""start_of_spell"": ""2007-01-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""RCD Mallorca"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Miguel Ángel Lotina"",\n    ""end_of_spell"": ""2007-12-23"",\n    ""start_of_spell"": ""2004-01-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.7\n  }'}}"
UD Almería,2015-10-03,Juan Ignacio Martínez,Senior,La Liga,1,True,0.8,nan
Recr. Huelva,2014-06-30,Juan Carlos,Senior,Segunda División,2,True,0.8,nan
Barça U18,2011-07-28,Gerard López,Youth,La Liga,Youth,False,0.0,nan
Villarreal,2024-06-30,Unai Emery,Senior,La Liga,1,False,0.0,nan
Barcelona,2020-08-17,Quique Setién,Senior,La Liga,1,True,0.8,nan
Real Betis,2019-06-30,Quique Sánchez Flores,Senior,La Liga,1,True,0.8,nan
UD Las Palmas,2017-06-30,Gonzalo Arconada,Senior,La Liga,1,True,0.8,nan
CD Lugo,2015-06-30,Eduardo Giménez,Senior,Segunda División,2,False,0.0,nan
CD Logroñés,2008-01-15,Juan Carlos Álvarez,Senior,Segunda División B,3,True,0.8,nan
Poli Ejido,2003-11-17,Juan Carlos Álvarez,Senior,Segunda División B,3,False,0.0,nan
Racing,2002-06-30,Reinaldo Merlo,Senior,Argentine Primera División,1,True,0.8,nan
Racing,2003-06-30,Reinaldo Merlo,Senior,Argentine Primera División,1,True,0.8,nan
