club_name,end_of_spell
Iraklis,1961-06-30
Partizan,1956-06-30
Hajduk Split,1955-06-30
Red Star,1950-06-30
Panserraikos,1967-04-06
Iraklis,1960-07-25
Panionios,2023-06-30
APOEL Nicosia,2022-05-31
Aris Limassol,2021-08-31
Apol. Limassol,2019-05-31
APOEL Nicosia,2015-11-20
Panathinaikos,2013-06-30
AEK Athens,2009-06-30
AEK Athens B,2024-06-30
Panionios,2023-02-20
AE Kifisias,2022-01-18
AE Moschatou,2019-06-13
Kyp. Korydallou,2018-05-03
Agios Ierotheos,2017-10-29
Kyp. Korydallou,2017-03-26
Aris Petroupolis,2023-02-08
Panionios,2022-05-23
Fostiras,2021-11-30
APO Keratsini,2020-06-30
Agios Ierotheos,2018-06-30
Agios Ierotheos,2017-03-22
Fostiras,2016-10-24
Aet. Korydallou,2016-06-30
Doxa Vyronos,2014-06-30
Panathinaikos B,2024-06-30
Panionios,2021-11-28
Panionios,2020-02-25
Panionios U20,2020-09-24
PAS Lamia,2024-06-30
GS Kallithea,2022-11-29
Olympiakos N.,2021-01-24
Panionios,2020-09-24
Olymp. Volou,2020-02-25
AOK Kerkyra,2019-11-26
Panegialios,2016-12-28
Panathinaikos,2016-02-03
PAO U20,2009-06-30
PAS Lamia,2022-03-02
AE Larisa,2020-11-23
Panionios,2018-06-30
AOK Kerkyra,2017-04-11
Atromitos,2015-11-03
AOK Kerkyra,2015-06-30
Panserraikos,2013-06-30
Doxa Dramas,2011-08-10
Ethn. Piraeus,2010-06-30
PAS Korinthos,2009-02-09
Eolikos,2008-05-17
Fostiras,2007-10-15
Ag. Dimitrios,2005-01-20
AE Ermionidas,2022-01-09
Ionikos U19,2021-10-14
AE Moschatou,2020-12-29
Ethn. Piraeus,2019-10-28
AS Rodos,2017-05-25
Asteras Tripoli,2016-02-29
Asteras Tripoli,2016-01-28
Panionios,2014-12-08
Panionios U20,2014-05-05
PAS Korinthos,2013-04-04
Panionios U20,2012-08-03
Olympiacos,2012-06-08
Panionios,2009-06-30
Aris Petroupolis,2024-06-30
IF Karlstad,2022-07-13
Akropolis IF,2019-11-30
Apollon Smyrnis,2016-04-18
AO Trikala,2015-12-20
Eolikos,2015-04-19
AE Larisa,2014-11-01
Panionios,2014-02-15
AE Larisa,2013-11-10
Panionios,2013-07-07
GS Ilioupolis,2024-06-30
AS Santorinis,2022-05-23
GAS Ialysos,2020-06-30
GS Kallithea,2019-12-27
Diagoras,2018-10-26
GS Kallithea,2018-06-30
Diagoras,2018-04-09
AO Chania,2017-05-21
Fostiras,2017-02-23
AO Chalkis,2016-10-17
Panargiakos,2016-06-30
GS Kallithea,2015-12-06
Olymp. Volou,2014-11-18
Paniliakos,2014-04-18
Panionios,2013-12-16
Ira. Psachnon,2013-06-30
AO Glyfadas,2013-04-04
GS Kallithea,2012-12-18
Vyzas Megaron,2011-12-06
Ethn. Piraeus,2011-06-30
Ethn. Asteras,2011-03-29
GS Ilioupolis,2010-02-22
AO Kerkyra,2009-05-31
GS Kallithea,2008-06-30
Ag. Dimitrios,2008-01-29
Panionios,2005-10-01
Ilysiakos,2005-04-18
AO Chalkis,2004-06-30
Ag. Dimitrios,2003-10-20
Athinaikos,2003-06-30
Ag. Dimitrios,2003-02-25
Athinaikos,2002-06-30
PAS Lamia,2001-03-05
Athinaikos,1998-06-30
IFK Göteborg,2024-12-31
Sarpsborg 08,2021-06-01
San Jose,2018-09-17
Häcken,2017-11-23
DL Aerbin,2016-07-05
IFK Göteborg,2014-11-03
Panionios,2010-10-28
AIK,2010-04-24
AFC Eskilstuna,2008-12-31
AIK,2006-12-31
AIK U19,2005-12-31
Hammarby U19,1997-12-31
Gröndals IK,1993-12-31
KAA Gent U21,2023-06-30
RFC Seraing,2021-06-30
F91 Dudelange,2019-09-17
Standard Liège,2019-06-30
Anderlecht U21,2018-06-30
Anderlecht Yth.,2017-11-18
OH Leuven,2017-01-15
FCV Dender EH,2015-11-26
KRC Genk,2014-07-28
Al-Shabab,2013-12-31
Al-Shabab,2013-09-20
Panthrakikos,2011-03-21
KSC Lokeren,2010-06-30
Panionios,2010-01-26
Panthrakikos,2009-06-30
Skoda Xanthi,2007-10-22
Club Brugge,2007-01-28
La Louviere,2005-10-03
FC Brüssel,2005-02-19
Lierse SK,2004-05-18
RWD Molenbeek,2002-06-30
KSK Beveren,2001-09-19
Erzgebirge Aue,2023-06-30
FC 08 Homburg,2021-03-08
FC 08 Homburg,2022-06-30
AO Episkopi,2013-05-09
Tammeka Tartu,2012-11-22
Tyrnavos 2005,2012-07-13
Pont. Katerini,2011-12-06
1860 Munich,2010-10-30
FC Augsburg,2010-10-30
SF Troisdorf,2006-06-30
SC West Köln,2003-02-28
FVM,2006-06-30
Fastav Zlin,2019-10-07
1.FK Pribram,2019-03-17
Ittihad Kalba,2017-06-30
Slovan Liberec,2015-03-09
Czechia U19,2013-07-12
Czechia U17,2012-06-30
Wisla Kraków,2010-06-16
Viktoria Zizkov,2008-11-01
Wisla Plock,2007-04-23
Panionios,2005-09-11
Slavia Prague,2005-04-15
Slovan Liberec,2003-06-30
Dukla Pribram,2001-06-30
Dukla Pribram,1998-11-12
AEK Athens,2021-08-24
Olympiacos,2016-11-30
Akratitos,2005-10-27
Panionios,2005-06-30
Panionios,2001-08-30
Panionios,2001-02-06
Panargiakos,2024-06-30
Pierikos,2022-06-30
Olymp. Volou,2021-11-24
Ast. Vlachioti,2021-05-06
Aspropyrgos,2020-06-30
Anag. Karditsas,2018-06-30
Panelefsiniakos,2017-05-08
AEL Kalloni,2016-12-11
Apollon Smyrnis,2016-06-06
Tyrnavos 2005,2016-04-18
PAS Lamia,2016-01-10
AO Trikala,2015-09-16
Acharnaikos,2015-06-30
Ira. Psachnon,2013-03-25
Olymp. Volou,2012-10-19
Elpidoforos,2012-06-30
AO Trikala,2011-06-30
GS Ilioupolis,2010-11-29
PS Kalamata,2010-02-23
AO Trikala,2009-11-23
Fostiras,2009-03-09
Ionikos Nikeas,2008-05-12
Pierikos,2007-09-15
GS Kallithea,2006-03-21
AO Egaleo,2005-12-13
Panionios,2005-04-16
Poseidon Neon Poron,2004-06-30
AO Kerkyra,2003-04-06
Ethn. Asteras,2002-10-15
Chalkidona,2002-02-11
Apollon Smyrnis,2001-01-14
Olymp. Volou,2000-06-30
Anag. Karditsas,1997-11-02
Orestis Orestiadas,1997-06-30
Atyrau,2012-06-26
Golden Arrows,2011-03-21
Ceahlăul,2010-05-26
Red Star,2003-06-30
Panionios,2000-12-19
Vit. Guimarães,1999-01-04
Boavista,1996-11-20
Beira-Mar,1994-06-30
Salgueiros,1993-03-22
Acharnaikos,2003-01-22
Panionios,2000-06-30
Panionios,1998-06-30
Panionios,1996-02-19
Panionios,1996-06-30
Panionios,1984-05-06
Panionios,1983-06-30
Steaua Bucharest,2010-08-06
Steaua Bucharest,2000-04-12
U. Craiova,1996-12-12
Panionios,1995-11-27
Fehérvár FC,1994-10-07
Steaua Bucharest,1994-04-30
Steaua Bucharest,1991-12-31
Steaua Bucharest,1986-10-12
Steaua Bucharest,1984-06-30
CS Târgoviște,1982-06-30
Bihor Oradea,1979-06-30
Steaua Bucharest,1978-06-30
Steaua Bucharest,1973-06-30
Panionios,1995-01-25
PAS Korinthos,2010-06-30
PS Kalamata,2008-04-24
Thyella Patron,2008-03-13
PS Kalamata,2007-06-30
Thyella Patron,2005-04-18
Apollon Smyrnis,2004-04-05
PAS Patraikos,2003-02-11
Apollon Athens,2000-05-17
PAS Giannina,2000-02-15
Apollon Athens,1999-06-30
Proodeftiki,1998-11-26
Panachaiki,1997-09-15
AE Larisa,1996-06-30
Skoda Xanthi,1995-06-04
Panionios,1995-01-10
Panachaiki,1993-06-30
Panserraikos,1988-01-25
Panachaiki,1987-10-27
Panachaiki,1985-01-28
Åtvidabergs FF,2010-12-31
Molde ,2005-12-31
IFK Göteborg,2004-06-30
HJK Helsinki,1995-12-31
Silkeborg IF,1994-06-30
Panionios,1989-11-10
Östers IF,1988-06-30
Kalmar FF,1983-12-31
Östers IF,1981-12-31
Kalmar FF,1978-12-31
Kalmar FF,1973-12-31
Panionios,1985-06-30
Pelita Jaya,1994-08-01
Panionios,1980-12-29
Panionios,1978-03-21
Panionios,1975-03-07
Panionios,1978-02-27
Spartak Moscow,1975-12-31
Shinnik Yaroslav,1968-12-31
Omonia Nikosia,1967-06-30
Panionios,1977-01-16
Panionios,1975-11-06
Balassagyarmat,1987-06-30
Pierikos,1985-04-22
Panachaiki,1983-03-07
Vasas SC,1982-06-30
Szegedi AK,1974-06-30
AO Egaleo,1972-06-30
Apollon Athens,1971-12-22
Panionios,1970-06-30
Pierikos,1968-06-30
Panionios,1968-01-15
Panionios,1961-05-26
PS Kalamata,2024-06-30
Anag. Karditsas,2023-06-30
Olymp. Volou,2020-09-15
AO Trikala,2020-06-30
Olymp. Volou,2019-06-30
Panserraikos,2018-02-01
AO Trikala,2017-06-30
Eginiakos,2017-01-24
AO Trikala,2015-08-22
Agrotikos,2015-02-10
PAS Lamia,2014-02-12
Niki Volou,2012-11-04
Agrotikos,2011-04-04
Anag. Karditsas,2010-06-30
Makedonikos,2009-02-20
GS Kallithea,2008-11-20
PAS Giannina,2008-05-28
Agrotikos,2008-03-04
FS Kozani,2005-06-30
PAE Veria,2004-11-01
Poseidon Neon Poron,2003-06-30
Krya Vrysi,2001-04-12
AS Ampelokipon,2000-09-05
Red Star U19,1994-06-30
PS Kalamata,2023-06-30
PS Kalamata,2023-05-19
Bregalnica Stip,2022-11-07
Macedonia,2018-12-31
Vardar,2012-07-29
Makedonija,2010-06-30
Macedonia U19,2006-07-31
Makedonija,2004-06-30
Makedonija,2003-06-30
MGjP Youth,2003-06-30
PS Kalamata U19,2024-06-30
PS Kalamata,2023-02-04
PS Kalamata U19,2023-01-19
AO Diavolitsiou,2020-02-10
Telos Agras,2019-10-29
Pamisos,2018-10-15
Tsiklitiras,2018-06-30
PS Kalamata,2013-09-30
Erani Filiatron,2012-06-30
PS Kalamata,2010-06-30
PS Kalamata,2010-03-04
PS Kalamata,2009-09-06
Telos Agras,2009-06-30
PS Kalamata,2008-06-30
PS Kalamata,2007-07-19
PS Kalamata,2005-04-12
FK Bylis ,2023-01-22
PS Kalamata,2022-06-30
PS Kalamata,2022-02-06
Ap. Larisas,2020-07-27
KS Luftëtari,2013-10-13
PS Kalamata,2020-01-27
PS Kalamata,2021-02-22
Makedonikos,2023-06-30
AO Trikala,2023-05-24
Olymp. Volou,2023-01-15
Diagoras,2021-12-27
PS Kalamata,2019-12-15
Veria NPS,2019-11-18
AE Sparti,2018-02-28
Ap. Larisas,2017-10-26
Anag. Karditsas,2016-05-29
PS Kalamata,2022-09-22
PS Kalamata,2022-05-27
PS Kalamata,2020-10-13
PS Kalamata U19,2019-09-15
Panthouriakos,2019-08-22
Chalkidona,2002-06-30
Athinaikos,2001-06-30
Athinaikos,2000-06-30
Athinaikos,1998-10-08
Akropolis IF,2021-12-31
Akropolis IF,2021-03-08
PS Kalamata,2019-06-30
Aris Limassol,2018-01-22
APO Levadiakos,2017-04-07
Platanias,2015-03-11
SK Tavriya,2013-12-25
PAS Giannina,2013-06-16
PAS Giannina,2011-12-04
Panionios,2011-06-30
Olympiakos U20,2009-06-30
Panthouriakos,2018-10-29
PS Kalamata,2018-04-16
PS Kalamata,2018-03-12
Panthouriakos,2016-06-30
AE Ermionidas,2023-01-02
AO Diavolitsiou,2022-06-30
Tilykratis,2021-06-30
Aittitos Spaton,2019-10-21
AO Episkopi,2019-06-30
GAS Ialysos,2018-09-24
AE Sparti,2018-05-16
PS Kalamata,2018-03-11
APS Zakynthos,2018-02-01
GAS Ialysos,2017-04-03
AO Chania,2015-01-27
PS Kalamata,2018-02-05
PS Kalamata,2012-03-06
PS Kalamata,2001-10-29
PS Kalamata,1995-12-21
AE Ermionidas,2022-10-04
Ermis Meligous,2022-06-30
AEK Tripolis,2019-06-30
PS Kalamata,2016-04-11
AE Ermionidas,2015-11-16
Panarkadikos,2015-04-20
Panarkadikos,2013-12-01
AEK Tripolis,2013-06-30
Ethn.Meligala,2022-01-19
Panarkadikos,2021-08-18
Ap. Petalidiou,2021-07-13
Nea Artaki,2019-10-14
Acharnaikos,2019-06-30
AE Sparti,2017-06-12
PS Kalamata,2015-10-29
AE Ermionidas,2024-06-30
Olympiacos B,2022-09-22
Olymp. Lavriou,2017-03-22
PS Kalamata,2015-06-30
Omonia Nikosia,2013-06-30
Omonia Nikosia,2012-12-14
Panionios,2011-11-23
Panionios,2008-12-03
Olymp. Volou,2023-03-12
Olymp. Volou,2023-01-19
Thiseas Agrias,2022-06-30
Pyrasos,2021-06-30
Rigas Fereos,2020-11-04
AO Sellanon,2018-12-18
GS Almyrou,2018-06-30
MGO Stratoniou,2017-06-30
GS Almyrou,2016-08-31
PS Kalamata,2015-03-03
PAO Vardas,2014-11-10
GS Almyrou,2014-03-31
An. Giannitson,2013-12-29
Oly. Volou U19,2013-06-30
GS Almyrou,2012-06-30
Olymp. Volou,2011-08-23
AO Karditsa,2009-12-17
PAS Lamia,2008-10-29
Ethn.Olym.Volou,2008-06-30
Olymp. Volou,2007-10-22
PAS Lamia,2006-03-20
Niki Volou,2003-06-30
AS Leonidiou,2003-04-21
Olymp. Volou,2001-08-27
Olymp. Volou,2000-10-31
GS Almyrou,1998-06-30
Paniliakos,1997-06-30
Olymp. Volou,1994-06-30
AS Rodos,2023-01-30
Nea Artaki,2021-10-10
Nafpaktiakos,2021-06-30
PASA Irodotos,2021-04-01
AS Rodos,2019-11-11
Ethn. Piraeus,2018-06-30
Panegialios,2017-11-27
Paniliakos,2017-08-25
GS Kallithea,2017-04-04
PS Kalamata,2015-01-28
Panegialios,2014-05-03
PAS Korinthos,2011-05-09
Vyzas Megaron,2010-02-04
PAS Lamia,2008-11-10
Niki Volou,2008-06-30
Panachaiki,2007-06-30
Niki Volou,2006-06-30
Olymp. Volou,2005-10-02
Panachaiki,2005-02-02
Niki Volou,2004-04-26
AO Kerkyra,2003-02-10
Fostiras,2002-12-16
GS Kallithea,2002-09-05
Panachaiki,2001-10-21
GS Marko,2001-02-12
Doxa Vyronos,2000-01-27
Eolikos,1998-11-03
GS Marko,1998-04-13
Nea Artaki,2022-06-30
Panegialios,2021-06-30
Pelopas Kiatou,2018-01-29
AE Achaiki,2016-11-07
GAS Ialysos,2016-02-03
Doxa Manoladas,2015-06-30
PS Kalamata,2014-07-09
Vyzas Megaron,2013-06-30
Paniliakos,2013-03-25
PAO Rouf,2012-06-30
PAO Rouf,2011-06-30
Agia Paraskevi,2010-12-20
PS Kalamata,2013-02-19
APS Zakynthos,2012-11-23
Aspropyrgos,2011-02-19
Thrasyvoulos,2009-06-30
Thrasyvoulos,2006-12-19
Apollon Athens,1998-08-14
AE Sparti,2019-03-08
PS Kalamata,2012-11-28
AO Trikala,2010-11-28
PS Kalamata,2010-01-25
PS Kalamata,2009-06-30
AO Thiva,2007-02-05
AO Kavala,2003-12-12
AO Kavala,2002-12-28
PS Kalamata,2001-10-09
AS Leonidiou,2001-06-30
Doxa Dramas,2021-04-28
AE Ermionidas,2019-03-05
AEEK SYNKA,2018-10-18
Thyella Rafinas,2017-06-30
OFI Crete FC,2016-10-10
PASA Irodotos,2015-01-13
AO Episkopi,2012-11-14
PO Atsaleniou,2010-03-04
PS Kalamata,2010-02-07
Doxa Dramas,2010-06-30
Ionikos Nikeas,2010-02-15
Apol. Kalamarias,2009-06-30
PS Kalamata,2008-12-02
AO Kavala,2008-02-25
PS Kalamata,2006-11-14
Olymp. Volou,2005-03-02
AS Kassandra,2004-06-30
Agrotikos,2003-02-10
AS Kassandra,2002-10-22
ILTEX Lyki,2000-04-14
Apol. Kalamarias,1990-06-30
Anag. Karditsas,2011-03-16
Ilysiakos,2009-06-30
PAE Veria,2008-09-30
Pierikos,2008-04-24
PS Kalamata,2008-03-13
Olymp. Volou,2006-06-30
Panachaiki,2005-06-01
APO Levadiakos,2004-09-30
Paniliakos,2004-06-30
PAS Giannina,2002-11-05
PAS Patraikos,2002-03-21
Paniliakos,2001-06-30
AS Leonidiou,2000-11-26
Anag. Karditsas,1999-10-11
PAS Giannina,1999-06-30
Ethn. Piraeus,1998-11-10
PAS Giannina,1998-06-30
PAS Giannina,1995-06-30
AO Egaleo,2007-06-30
PS Kalamata,2004-10-18
GS Marko,2003-01-29
Panelefsiniakos,2001-06-30
Chalkidona,2001-01-17
PAOK U20,2021-06-30
AO Kavala,2004-11-01
Panserraikos,2003-02-10
Apol. Kalamarias,2002-09-16
PS Kalamata,2002-06-30
AO Kavala,2001-06-30
AS Ampelokipon,2000-11-06
Kilkisiakos,1999-10-18
GAS Ialysos,1999-06-30
Apol. Kalamarias,1998-05-09
AO Kavala,1998-01-05
FAS Naousa,1997-06-30
Apol. Kalamarias,1996-06-30
Olympiacos,2020-08-14
PAO Vardas,2008-06-30
PS Kalamata,2001-06-30
Messiniakos,2007-04-17
Apol. Kalamarias,2005-01-12
PS Kalamata,2000-03-04
PS Kalamata,1998-06-30
Messiniakos,2014-06-30
Messiniakos,2008-06-30
Messiniakos,2008-01-10
PS Kalamata,1998-03-23
PS Kalamata,1997-12-10
PS Kalamata,1997-09-30
PS Kalamata,1997-12-02
Enköpings SK,2008-06-30
Vasalund/Essinge,2005-12-31
Enköpings SK,2004-12-31
Vasalund/Essinge,2004-10-31
PAS Giannina,2004-01-12
Assyriska FF,2002-12-31
Enköpings SK,2001-12-31
PS Kalamata,1997-08-06
Brommapojkarna,1994-12-31
Djurgården,1993-12-31
Tromsø,1991-12-31
Vasalund/Essinge,1990-12-31
Spårvägens FF,1987-12-31
Vasalund/Essinge,1984-12-31
AIK,1980-12-31
Panetolikos,1977-06-01
PS Kalamata,1975-02-12
Panserraikos,1973-06-30
PS Kalamata,1972-06-30
PAE Veria,1971-06-30
Ethn. Piraeus,1970-06-30
AO Xanthi,2024-06-30
Apollon Xanthis,2023-06-30
AO Xanthi U19,2022-06-30
AEK Athens,2020-06-30
Unknown,2017-06-02
Asteras Magikou,2016-06-12
Unknown,2015-01-05
AO Episkopi,2023-06-30
Veria NPS,2022-12-07
AO Xanthi,2022-07-21
AO Kavala,2021-07-16
Doxa Dramas,2020-01-20
AEEK SYNKA,2019-06-30
Ionikos Nikeas,2018-09-06
AO Kavala,2018-06-30
Panthrakikos,2016-12-08
AO Kavala,2015-12-13
AO Episkopi,2015-01-16
AO Xanthi,2022-03-04
Hajduk Split,2018-11-27
Apollon Smyrnis,2017-12-12
Atyrau,2017-04-11
FC Sheriff,2016-06-16
RNK Split,2015-09-30
RNK Split,2013-05-13
NK Istra,2011-03-21
NK Istra,2010-05-22
HNK Rijeka,2009-11-10
Luch Vladivostok,2008-10-10
Hajduk Split,2007-04-09
Hajduk Split,2004-05-02
Hajduk Split,2001-06-30
Hajduk Split,1998-06-30
AO Xanthi,2022-02-01
AO Xanthi,2022-06-30
Nestos,2024-06-30
AO Xanthi,2022-01-28
AO Xanthi U19,2021-11-12
Xanthi U20,2017-06-30
Xanthi U20,2018-08-20
Skoda Xanthi,2014-06-30
Xanthi U20,2014-02-05
AE Larisa,2012-03-20
Anag. Karditsas,2010-12-18
Skoda Xanthi,2010-09-20
Thrasyvoulos,2009-11-10
Panetolikos,2009-03-16
Skoda Xanthi,2008-04-20
Skoda Xanthi,2007-05-13
AO Xanthi U17,2006-05-29
West Brom,2023-06-30
AO Xanthi,2021-11-12
Leeds,2021-06-30
Leeds U21,2020-07-31
Atlético Madrid,2019-07-31
Sydney Olympic,2017-04-25
Barça Youth,2016-11-09
AD Alcorcón You,2015-06-30
FC Baku,2014-06-30
AC Milan Youth,2013-06-30
FC Porto,2009-06-30
Boavista U15,2008-11-01
Salgueiros,2006-06-30
AO Xanthi,2021-03-01
AO Xanthi,2021-07-15
FC Luftëtari,2019-12-14
Aris Avatou,2019-02-20
Acharnaikos,2017-06-30
AO Trikala,2016-02-14
Panegialios,2015-12-30
Panelefsiniakos,2015-01-29
AS Fokikos,2014-11-10
AO Kavala,2014-01-19
AO Kavala,2013-06-30
Meg. Alexandros,2011-04-11
Panachaiki,2010-10-11
Makedonikos,2009-10-08
PAS Lamia,2009-01-09
Od. Anagennisis,2008-11-01
AO Xanthi,2019-12-07
AO Xanthi,2019-11-24
Asteras Tripoli,2025-06-30
Vojvodina,2023-02-26
Asteras Tripoli,2022-06-30
AO Xanthi,2019-06-30
Radnicki Nis,2017-06-30
Vojvodina,2014-12-31
Poseidon Mich.,2023-06-30
Panserraikos,2019-10-23
Ethn. Piraeus,2018-03-15
Agrotikos,2017-02-20
Skoda Xanthi,2014-09-24
Skoda Xanthi,2016-06-30
Skoda Xanthi,2013-06-30
AE Larisa,2024-06-30
AE Larisa,2022-12-23
AE Larisa,2022-04-28
Atromitos,2021-11-29
Ast. Vlachioti,2021-09-23
Asteras Tripoli,2019-05-17
Panegialios,2018-01-15
Panegialios,2015-06-30
APO Levadiakos,2013-03-26
An. Giannitson,2010-12-13
Skoda Xanthi,2009-09-20
Skoda Xanthi,2009-04-26
Skoda Xanthi,2010-04-30
AO Kavala,2016-02-22
Vyzantio,2014-04-28
Skoda Xanthi,2008-09-18
PAE Thraki,2006-06-30
Doxa Dramas,1998-12-03
AO Kavala,1998-01-20
Doxa Dramas,2022-06-30
Nestos,2017-11-06
Nestos,2015-10-17
AO Kavala,2015-02-02
Skoda Xanthi,2006-10-03
Skoda Xanthi,1996-01-14
