club,date,country,League,Tier
West Ham,2019-12-28,England,Premier League,Tier 1
San Lorenzo,2002-06-30,Argentina,Argentine Primera División,Tier 1
BJ Guoan,2022-01-08,China,Chinese Super League,Tier 1
Besiktas,2015-05-30,Turkey,Turkish Super League,Tier 1
West Brom,2021-06-30,England,EFL Championship,Tier 2
Everton,2018-05-16,England,Premier League,Tier 1
West Brom,1991-06-30,England,Second Division,Tier 2
Crystal Palace,2017-07-15,England,EFL Championship,Tier 2
Fulham U18,2014-12-19,England,Professional Development League Tier 1,Tier 1
CSKA-Sofia,2021-07-25,Bulgaria,Bulgarian First League,Tier 2
Reading,2003-09-10,England,Championship,Tier 2
Preston,2012-01-14,England,English Football League One,Tier 3
Örgryte,2020-10-14,Sweden,Allsvenskan,Tier 2
Gillingham FC,2013-10-13,England,League Two,Tier 4
Nottm Forest,2004-12-16,England,Championship,Tier 2
Doncaster,1989-06-30,England,Fourth Division,Tier 4
Coventry,1993-12-31,England,Premier League,Tier 1
West Brom,1992-05-05,England,Second Division,Tier 2
Crewe Alexandra,2011-11-09,England,League Two,Tier 4
Spartak Moscow,2012-11-25,Russia,Russian Premier League,Tier 1
QPR,1997-11-10,England,Second Division,Tier 2
Wimbledon FC,1989-11-27,England,Fourth Division (Tier 2),Tier 2
Arsenal,1971-06-30,England,First Division,Tier 1
Peterborough,1958-06-30,England,Third Division,Tier 3
Arsenal,1956-06-30,England,First Division,Tier 2
Leeds,20/07/2027,England,Premier League,Tier 1
SV Lippstadt 08,2015-06-30,Germany,Regionalliga West,Tier 4
Al-Sadd SC,2022-06-15,Qatar,Qatar Stars League,Tier 1
UD Almería,2013-06-30,Spain,La Liga,Tier 1
Villarreal CF B,2011-05-13,Spain,Segunda División A,Tier 2
Boston Utd,2002-06-30,England,Conference National,Tier 4
Malmö FF,2019-12-13,Sweden,Allsvenskan,Tier 2
Viking,2009-11-18,Norway,Tippeligaen,Tier 1
Lillestrøm,2006-11-13,Norway,Eliteserien,Tier 2
Rotherham,2016-02-08,England,English Football League One,Tier 2
NK Maribor,2020-03-07,Slovenia,PrvaLiga,Tier 1
Tottenham,2023-06-30,England,Premier League,Tier 1
Leeds,2014-08-06,England,English Football League Championship,Tier 2
QPR,2015-12-04,England,Championship,Tier 2
Notts County,1993-01-14,England,Fourth Division,Tier 4
Newcastle,2004-08-28,England,Premier League,Tier 1
Luton,2008-01-16,England,Championship,Tier 2
Ipswich,2023-06-30,England,EFL Championship,Tier 2
Leeds,2003-11-12,England,Premier League,Tier 1
Notts County,1982-06-30,England,Fourth Division,Tier 4
Barnsley FC,1980-05-31,England,Third Division,Tier 4
Leeds,1980-09-30,England,First Division,Tier 2
Burnley,1976-01-15,England,First Division,Tier 1
Burnley,1970-02-21,England,First Division,Tier 1
Scotland,1965-12-08,Scotland,Scottish Football League,Tier 1
Leeds,1959-03-31,England,First Division,Tier 1
Leeds,1953-04-14,England,First Division,Tier 1
Hull City,1948-03-14,England,Second Division,Tier 2
Wolves,1944-03-15,England,Second Division,Tier 2
Bristol City,2005-06-30,England,Championship,Tier 2
Linfield FC,2007-07-31,Northern Ireland,IFA Premiership,Tier 2
Leicester City,2010-06-30,England,English Championship,Tier 2
Inter,2012-03-26,Italy,Serie A,Tier 1
Juventus,2009-05-18,Italy,Serie A,Tier 1
FC Basel,2015-06-17,Switzerland,Super League,Tier 2
QPR,2009-04-09,England,Championship,Tier 2
Charlton,2014-03-11,England,EFL Championship,Tier 2
Blackpool,1997-06-30,England,Second Division,Tier 2
Watford,2000-06-30,England,FA Premier League,Tier 1
Brentford,1998-06-30,England,English Football League Second Division,Tier 2
Leicester,2001-10-10,England,Premier League,Tier 1
Leicester,2001-09-30,England,Premier League,Tier 1
Stockport,2021-10-26,England,National League North,Tier 3
Aston Villa U23,2018-12-13,England,English Football League Two,Tier 3
Luton,1995-06-30,England,English Football League Second Division,Tier 2
Wigan,1993-06-30,England,Premier League,Tier 1
Coventry,1974-06-30,England,Football League First Division,Tier 1
Sevilla FC,1987-06-30,Spain,La Liga,Tier 1
Millwall,1990-02-13,England,Second Division,Tier 2
Al-Shaab,1980-12-31,United Arab Emirates,UAE Pro League,Tier 4
Nottm Forest,1972-10-14,England,First Division,Tier 1
Derby,20/6/26,England,EFL Championship,Tier 2
PSV Eindhoven,2012-06-30,Netherlands,Eredivisie,Tier 1
Everton,2023-01-23,England,Premier League,Tier 1
England,2002-11-30,England,UEFA Nations League,Tier 1
Derby,2023-05-24,England,EFL Championship,Tier 2
Bayern Munich,2017-01-02,Germany,Bundesliga,Tier 1
Preston,2006-06-02,England,League One,Tier 3
Barrow,2022-06-30,England,National League,Tier 4
Stockport,2004-12-18,England,Conference National,Tier 3
Chennaiyin FC,2019-11-30,India,Indian Super League,Tier 2
QPR,2007-10-01,England,English Football League Championship,Tier 2
Aston Villa,2002-01-23,England,Premier League,Tier 1
York City,2007-11-19,England,Conference National,Tier 4
Randers FC,2016-06-30,Denmark,Superliga,Tier 1
Bradford,2004-06-17,England,English Football League First Division,Tier 2
Hereford Utd.,1991-05-17,England,Fourth Division,Tier 4
Celta de Vigo,1987-06-30,Spain,La Liga,Tier 1
Newport County,1985-05-31,Wales,English Football League,Tier 3
Hull City,2009-06-30,England,Championship,Tier 2
Northampton,1922-04-01,England,Third Division South,Tier 3
Swindon Town,2022-06-30,England,EFL League Two,Tier 4
Wycombe,2007-06-30,England,English Football League Two,Tier 4
Aston Villa,2011-06-01,England,Premier League,Tier 1
Paris SG,1987-10-25,France,Ligue 1,Tier 1
Watford,2017-01-12,England,EFL Championship,Tier 2
Aston Villa,2003-06-30,England,Premier League,Tier 1
Watford,2001-06-30,England,Premier League,Tier 1
Norwich City,2010-03-16,England,Championship,Tier 2
Lincoln City,2007-10-15,England,Football League Two,Tier 4
Atlético Madrid,1989-01-28,Spain,La Liga,Tier 1
ČSSSŽ,1982-06-24,Czechoslovakia,Czechoslovak First League,Tier 1
Wolves,1994-03-16,England,Premier League,Tier 1
Aston Villa,1968-11-01,England,First Division,Tier 1
Notts County,1953-08-31,England,Third Division South,Tier 4
Hannover 96,2011-11-26,Germany,2. Bundesliga,Tier 2
Örebro SK,1984-06-30,Sweden,Allsvenskan,Tier 1
Dinamo Tbilisi,2020-12-19,Georgia,Erovnuli Liga,Tier 1
Watford,2020-12-19,England,Premier League,Tier 1
Watford,2020-07-27,England,Premier League,Tier 1
Atlético Madrid,2011-05-23,Spain,La Liga,Tier 1
Fulham,20/4/2024,England,EFL Championship,Tier 2
Olympiacos,2016-06-23,Greece,Super League Greece,Tier 1
Watford,2017-05-22,England,EFL Championship,Tier 2
Chievo Verona,2013-11-12,Italy,Serie A,Tier 2
Lecco,2006-02-23,Italy,Serie C1,Tier 3
Italy,2022-12-14,Italy,Serie A,Tier 1
Man City Res.,2007-11-05,England,English Football League One,Tier 2
QPR,2004-03-03,England,Championship,Tier 2
Millwall,2005-12-21,England,The Championship,Tier 2
Watford,1990-11-27,England,First Division,Tier 2
Detroit Express,1980-12-31,United States,American Professional Soccer League,Tier 2
Watford,1937-08-01,England,First Division,Tier 1
Watford,1931-06-30,England,First Division,Tier 1
Everton,2023-01-29,England,Premier League,Tier 1
DL Pro,2021-01-23,South Korea,K3 League,Tier 2
Real Madrid,2016-01-04,Spain,La Liga,Tier 1
Everton,2021-06-30,England,Premier League,Tier 1
Juventus,2001-06-30,Italy,Serie A,Tier 1
Wigan,2013-05-28,England,FA Cup,Tier 2
Linfield,1971-08-31,Northern Ireland,NIFL Premiership,Tier 2
Everton,1948-09-01,England,First Division,Tier 1
Empoli,2015-06-04,Italy,Serie A,Tier 2
Juventus,2014-07-15,Italy,Serie A,Tier 1
AC Siena,2011-05-30,Italy,Serie B,Tier 2
China U21,2018-12-31,China,Chinese Football Association Jia A League,Tier 2
Chelsea,2009-06-30,England,Premier League,Tier 1
Real Betis,202000-05-01,Spain,La Liga,Tier 1
Chelsea,2015-12-17,England,Premier League,Tier 1
Tottenham,2013-12-16,England,Premier League,Tier 1
Grêmio,2021-10-11,Brazil,Campeonato Brasileiro Série A,Tier 2
Chelsea,2009-02-09,England,Premier League,Tier 1
Grêmio,1996-12-31,Brazil,Campeonato Gaúcho,Tier 2
Kuwait,1990-12-31,Kuwait,Qatar Stars League,Tier 2
Portsmouth,2002-03-25,England,Premier League,Tier 1
Ajax,2017-11-30,Netherlands,Eredivisie,Tier 2
Chelsea,1996-06-30,England,Premier League,Tier 1
Qadsia SC,1986-06-30,Kuwait,Kuwaiti Premier League,Tier 1
Wrexham,1977-05-19,Wales,English Football League,Tier 2
Chelsea,1981-04-23,England,First Division,Tier 1
Man Utd,1981-04-01,England,First Division,Tier 1
Chelsea,1974-10-03,England,First Division,Tier 1
Chelsea,1961-09-30,England,First Division,Tier 1
Chelsea,1933-06-30,England,First Division,Tier 1
Plymouth Argyle,2019-04-28,England,EFL League Two,Tier 4
Blackpool,2021-11-24,England,EFL Championship,Tier 2
Bradford,2003-11-09,England,English Third Division,Tier 4
Falkirk,1995-08-01,Scotland,Scottish League One,Tier 4
Charlton,1991-07-09,England,Second Division,Tier 2
Millwall,1997-05-08,England,English Football League Second Division,Tier 2
Bradford,1971-08-31,England,Fourth Division,Tier 4
Hull City,1961-06-30,England,First Division,Tier 1
Rochdale,1930-06-30,England,Third Division North,Tier 4
Liverpool,2012-05-16,England,Premier League,Tier 1
Wales,2007-02-18,Wales,FIFA World Cup Qualifying,Tier 1
Swindon Town,2001-08-02,England,Third Division (English football),Tier 3
Liverpool,1998-11-11,England,Premier League,Tier 1
Benfica,1999-05-02,Portugal,Primeira Liga,Tier 1
Workington AFC,1955-11-15,England,Fourth Division,Tier 4
Fluminense U20,2019-06-30,Brazil,Campeonato Brasileiro Sub-20,Tier 1
Darlington,2010-03-31,England,Conference National,Tier 4
Hull City,2014-12-22,England,English Football League Championship,Tier 2
Hibernian FC,2006-10-12,Scotland,Scottish Premier League,Tier 1
Middlesbrough,1977-04-21,England,First Division,Tier 1
Yeovil Town,1981-02-14,England,Fourth Division (Tier 2),
Southend United,1940-08-01,England,Third Division South,Tier 2
Doncaster,2021-02-28,England,EFL League Two,Tier 4
Falkirk FC Reserves,2011-10-25,Scotland,Scottish Football League Third Division,Tier 4
Falkirk,2011-10-25,Scotland,Scottish First Division,Tier 3
Chesterfield FC,2018-06-30,England,National League,Tier 5
Wakefield AFC,2022-01-13,England,Northern Premier League,Tier 4
Stockport,2005-12-27,England,Conference National,Tier 4
QPR,1990-11-27,England,Second Division,Tier 2
Weymouth FC,1993-04-01,England,Conference League,Tier 4
Cardiff City,1984-03-01,Wales,English Second Division,Tier 2
Sheff Wed,1958-06-30,England,First Division,Tier 1
Reading,1971-12-31,England,Third Division,Tier 3
Olympiacos,1976-01-05,Greece,Alpha Ethniki,Tier 1
Sevilla FC,1972-09-30,Spain,La Liga,Tier 1
Ajax,1965-01-20,Netherlands,Eredivisie,Tier 1
Bradford PA,1953-06-30,England,Football League Third Division North,Tier 2
Alessandria,2017-11-20,Italy,Serie C,Tier 4
Valencia,2015-11-29,Spain,La Liga,Tier 1
Real Madrid,2009-06-30,Spain,La Liga,Tier 1
Espanyol,2002-10-07,Spain,La Liga,Tier 1
Tottenham,2004-11-06,England,Premier League,Tier 1
Al-Ahli,2017-06-30,Saudi Arabia,Pro League,Tier 2
QPR,2001-02-25,England,Championship,Tier 2
Bristol Rovers,1991-05-13,England,Fourth Division,Tier 4
Tottenham,2004-10-23,England,Premier League,Tier 1
Ghana,2024-12-31,Ghana,WC Qualification Africa,Tier 3
Newcastle,2009-06-30,England,Premier League,Tier 1
Man City,2005-03-10,England,Premier League,Tier 1
Newcastle,1977-11-09,England,First Division,Tier 1
FC Copenhagen,2022-06-30,Denmark,Superliga,Tier 1
Neftchi Baku,2014-12-31,Azerbaijan,Azerbaijan Premier League,Tier 3
Unterhaching,2010-02-22,Germany,3. Liga,Tier 4
Valencia,2012-12-02,Spain,La Liga,Tier 1
Charlton,2021-10-21,England,EFL Championship,Tier 2
Southampton,2009-01-23,England,Premier League,Tier 1
FC Den Bosch,2013-06-30,Netherlands,Eerste Divisie,Tier 2
Hull City,2010-06-30,England,Championship,Tier 2
Stoke City,1991-02-01,England,Second Division,Tier 2
Southampton,1994-01-19,England,Premier League,Tier 1
Walsall,1997-05-21,England,Third Division,Tier 3
Southampton,1924-06-30,England,First Division,Tier 1
Southampton,1919-06-30,England,First Division,Tier 1
SSV Ulm 1846,1999-03-16,Germany,Bayerische Fußballmeisterschaft,Tier 2
Man Utd,1994-01-20,England,Premier League,Tier 1
Panachaiki,1974-06-30,Greece,Beta Ethniki,Tier 3
Hamilton Acad.,1930-06-19,Scotland,Scottish First Division,Tier 2
Aston Villa,2020-08-16,England,English Football League Championship,Tier 2
Kilmarnock FC,2022-01-04,Scotland,Scottish Premiership,Tier 1
Kilmarnock FC,2021-02-08,Scotland,Championship,Tier 2
St. Mirren,2018-05-24,Scotland,Scottish Premiership,Tier 2
Queen of the South,2014-09-08,Scotland,Scottish Championship,Tier 2
AE Larisa,2012-01-09,Greece,Super League Greece,Tier 1
Feyenoord,2021-06-30,Netherlands,Eredivisie,Tier 2
Sparta Rotterdam,2018-06-30,Netherlands,Eredivisie,Tier 2
ADO Den Haag,2016-08-15,Netherlands,Eredivisie,Tier 1
AZ Alkmaar,2010-06-30,Netherlands,Eredivisie,Tier 1
Scunthorpe Utd.,1991-01-31,England,English Football League Fourth Division,Tier 4
Sunderland,1976-10-16,England,Second Division,Tier 2
Cardiff,1986-04-28,Wales,English Football League First Division,Tier 2
Gillingham FC,2007-10-08,England,League One,Tier 3
England U21,2020-09-23,England,U21 National Team,Tier 1
Birmingham U21,2017-09-16,England,English Football League,Tier 2
Wigan U21,2021-06-30,England,English Football League Two,Tier 2
Rochdale,2011-12-19,England,League One,Tier 3
Sweden U17,2017-08-11,Sweden,UEFA Youth League,Tier 1
Nörresundby BK,1980-04-14,Sweden,Allsvenskan,Tier 1
Coventry,1976-06-30,England,Third Division,Tier 3
Coventry,1961-11-14,England,First Division,Tier 1
Coventry,1955-12-31,England,Third Division,Tier 4
Charlton Athletic,2019-06-30,England,English Football League One,Tier 3
West Brom,2017-12-01,England,English Football League Championship,Tier 2
FC Metz,2015-12-23,France,Ligue 1,Tier 2
Beerschot AC,2012-11-28,Belgium,Pro League,Tier 1
KVC Westerlo,2016-09-13,Belgium,First Division B,Tier 4
KAA Gent,2013-01-03,Belgium,Jupiler Pro League,Tier 1
Southampton,2018-11-08,England,Premier League,Tier 1
Charlton,1970-03-01,England,Football League First Division,Tier 2
Millwall,1966-07-16,England,First Division,Tier 1
Man City,2013-05-19,England,Premier League,Tier 1
Inter,2016-08-08,Italy,Serie A,Tier 1
Man City,1998-02-17,England,Premier League,Tier 1
Crystal Palace,1996-02-08,England,Premier League,Tier 1
Shrewsbury,1991-01-16,England,Third Division,Tier 4
Hull City,1988-04-13,England,First Division,Tier 1
Man City,1980-10-16,England,First Division,Tier 1
Man City,1974-04-11,England,First Division,Tier 1
Bournemouth,2000-08-18,England,Championship,Tier 2
Man City,1986-09-20,England,First Division,Tier 2
Burnley,1984-07-31,England,First Division,Tier 1
Ipswich,2021-05-07,England,EFL League One,Tier 3
Grimsby Town,2016-10-23,England,English Football League (EFL) Two,Tier 4
Hartlepool,1983-06-30,England,Conference League,Tier 2
Rochdale,2006-12-16,England,League One,Tier 3
Celtic B,2010-03-24,Scotland,Scottish Premier League,Tier 1
Nottm Forest,2016-03-13,England,EFL Championship,Tier 2
Burnley,2010-01-08,England,Premier League,Tier 1
Club Brugge,2023-03-08,Belgium,Jupiler Pro League,Tier 1
Spurs U18,2018-06-30,England,Professional Development League Tier 1,Tier 1
Norwich,2007-10-08,England,Championship,Tier 2
Boscombe,2004-01-01,England,English Football League Third Division,Tier 3
Crystal Palace,2007-10-10,England,Premier League,Tier 1
VfL Wolfsburg,2009-06-30,Germany,Bundesliga,Tier 1
Werder Bremen,1999-05-08,Germany,Bundesliga,Tier 1
1. FC Nuremberg,1998-06-30,Germany,2. Bundesliga,Tier 2
Wimbledon FC,1999-02-04,England,Third Division,Tier 4
Olympique Lyon,1995-06-30,France,Ligue 1,Tier 1
Sunderland U21,2015-03-17,England,English Football League Development Squad,Tier 2
Ethnikos Piraeus,1983-06-30,Greece,Greek Second Division,Tier 2
Yeovil Town,1949-06-30,England,Third Division South,Tier 2
Northampton,1982-06-30,England,Fourth Division,Tier 4
Luton,1938-02-01,England,Third Division South,Tier 4
Blackburn,2012-09-29,England,Premier League,Tier 1
Luton,1958-10-16,England,Second Division,Tier 2
Doncaster,1949-05-14,England,Third Division South,Tier 3
Aston Villa U18,2020-03-04,England,Professional Development League,Tier 2
UD Las Palmas,2022-01-23,Spain,Segunda División,Tier 2
Dep. La Coruña,2017-10-24,Spain,La Liga,Tier 1
Real Murcia,2001-06-30,Spain,Segunda División,Tier 2
Rochdale,2003-12-30,England,League Two,Tier 4
West Brom,1997-01-22,England,First Division,Tier 2
Belenenses,1981-06-30,Portugal,Primeira Divisao,Tier 2
West Brom,1961-10-01,England,First Division,Tier 2
West Brom,1948-05-31,England,First Division,Tier 1
QPR,2019-05-07,England,EFL Championship,Tier 2
Birmingham U18,2019-06-30,England,Premier League Academy,Tier 1
Bristol City,2016-01-14,England,EFL Championship,Tier 2
Norwich,2008-12-10,England,Championship,Tier 2
Walsall,2006-04-24,England,Football League Two,Tier 4
Birmingham,1975-09-17,England,Second Division,Tier 2
Birmingham,1970-02-28,England,First Division,Tier 1
Concord Rangers,2008-06-30,England,Conference South,Tier 4
Southend United,2019-09-06,England,League Two,Tier 4
Oxford United,2014-07-04,England,League Two,Tier 4
Bognor Regis,2009-01-03,England,Conference South,Tier 4
Luton,2018-09-04,England,EFL Championship,Tier 2
Al-Gharafa SC,2013-02-21,Qatar,Qatar Stars League,Tier 1
Weymouth FC,2004-10-20,England,Conference National,Tier 3
Rayo Vallecano,2003-11-03,Spain,La Liga,Tier 1
Wolves,2022-10-02,England,Premier League,Tier 1
