,TeamName
0,Anconitana
1,Cremonese
2,Altona 93
3,Hellas
4,Wilhelmus
5,RVC
6,Ajax U19
7,Ajax
8,KV Mechelen
9,RSC Anderlecht
10,PSV Eindhoven
11,Werder Bremen
12,Standard Liège
13,Sporting Gijón
14,Urawa Reds
15,Al-Hilal
16,U. A. E.
17,AO Kavala
18,Sparta R.
19,CVV
20,Feyenoord
21,AEK Athens
22,PAS Giannina
23,KAA Gent
24,FC Utrecht
25,Go Ahead Eagles
26,Bandung Raya
27,FC Omniworld
28,Volendam U19
29,Volendam U21
30,Utrecht U21
31,Malagueña
32,San Fernando CD
33,Almería
34,Atlco. Marbella
35,Alavés
36,Tarrasa
37,Córdoba CF
38,Granada CF
39,CD Málaga
40,Xerez CD
41,Antequera
42,UD Melilla
43,Tours B
44,St-Étienne U19
45,Angers SCO U19
46,Angers SCO B
47,Angers SCO YL
48,Angers SCO
49,AS Red Star 93
50,Algeria
51,Genoa U17
52,Genoa CFC Youth
53,Ankara TKI
54,Kavakliderespor
55,Tavsanli Linyit
56,FK Bor
57,Radnicki Nis
58,FK Sarajevo
59,Yugoslavia U23
60,Partizan
61,Yugoslavia
62,Fenerbahce
63,Eskisehirspor
64,Turkey
65,Besiktas
66,Adana Demirspor
67,Bursaspor
68,Adanaspor
69,Samsunspor
70,Diyarbakirspor
71,Sloga Požega
72,FK Trepca
73,Pendikspor 
74,1461 Trabzon Yt
75,Trabzonspor U19
76,Darica GB
77,Sebat Gençlik
78,Istanbul U21
79,Galatasaray U21
80,Türkiye U17
81,Büyüksehir Bld
82,Basaksehir
83,Trabzonspor
84,Türkiye U19
85,Gaziantepspor
86,Türkiye U20
87,Türkiye U21
88,Sakaryaspor
89,Turgutluspor 
90,Arnavutköy Bld
91,Karaman FK
92,Balikesirspor
93,Eskisehir U21
94,Zonguldakspor
95,Orduspor
96,Antalyaspor
97,Kocaelispor
98,Siirt YSE Spor
99,Esk. Sekerspor
100,Erzurumspor U21
101,Erzurumspor
102,Unknown
103,Palandöken Bld
104,BB Erzurum U19
105,Karagümrük
106,Güngören Bld
107,Eyüpspor
108,Kasimpasa
109,Kahramanmaras
110,Mersin IY
111,I. Güngörenspor
112,Treviso
113,Arezzo
114,Central Córdoba
115,Estudiantes
116,Rio Ave
117,Famalicão
118,Belenenses
119,Vitória Setúbal
120,Marseille
121,Ponte Preta
122,Flamengo
123,Fluminense
124,Internacional
125,Al-Jazira
126,Cruzeiro
127,Vasco da Gama
128,FC Lugano
129,Sporting U19
130,Sporting B
131,Braga B
132,SC Braga
133,PAOK Salonika
134,Palmeiras
135,Sanluqueño
136,R. Majadahonda
137,Recr. Huelva
138,Heredia
139,Leandro N. Alem
140,CA Güemes
141,AD Berazategui
142,San Miguel
143,AS Livorno
144,Once Deportivo
145,Club Blooming
146,CD Macará
147,LDU Portoviejo
148,Luqueño
149,CD Saquisilí
150,Sarmiento Junin
151,Atlanta
152,CA Alvarado
153,Puteolana
154,Gral. Belgrano
155,Huracán
156,Osorno
157,Excursionistas
158,Estudiantes BA
159,Lamadrid
160,Deportivo Quito
161,General Roca
162,Ciudad Murcia
163,Levante
164,Castellón
165,Atlético Madrid
166,Real Valladolid
167,Celta de Vigo
168,Candás CF
169,CD Tuilla
170,Espanyol
171,CF Rayo Majadaho
172,Atléti Youth
173,Atl. Madrid U19
174,Atlco. Aviación
175,Real Madrid C
176,Atl. Madrid B
177,Montañeros CF
178,CD Toledo
179,YC Helanshan
180,Kitchee
181,G. Segoviana
182,Marbella FC
183,Tasmania Berlin
184,TeBe Berlin
185,Bologna
186,Fokikos U19
187,AS Fokikos
188,Panserraikos
189,Anag. Artas
190,SC 04 Schwabach
191,Gr. Fürth U17
192,RB Leipzig U17
193,RB Leipzig U19
194,Jahn Regensburg
195,1.FC Köln
196,1.FSV Mainz 05
197,Eindhoven
198,DS'79
199,JOS
200,De Graafschap
201,FC Den Bosch
202,Rapid JC
203,Roda JC
204,Chevremont
205,Limburgia
206,Groene Ster
207,Darmstadt 98
208,Mansfield Town
209,Boston Utd
210,Barnsley U18
211,Fylde
212,Iraklis
213,Newcastle Yth.
214,Newcastle Res.
215,Man City U18
216,SK Tavriya II
217,Messina
218,Atalanta U19
219,Cisco Lodigiani
220,Brescia
221,Reggiana
222,Vicenza
223,Giulianova
224,Maceratese
225,Chieti
226,Catania
227,Taranto
228,Brindisi
229,Alessandria
230,TEDAS 12 Mart
231,Ankaraspor
232,Adana 1954 FK
233,Osmaniyespor
234,Batman Petrol
235,Osmaniyespor FK
236,Pazarspor Yth
237,Pazarspor 
238,Düzcespor
239,RB Juniors
240,SCR Altach
241,Grödig
242,RB Salzburg
243,BSC Young Boys
244,E. Frankfurt
245,Bor. M'gladbach
246,Monaco
247,B. Neunkirchen
248,FK Pirmasens
249,Wuppertaler SV
250,RW Oberhausen
251,Usakspor
252,PSV Youth
253,PSV U17
254,PSV U21
255,Wydad AC
256,KV Oostende
257,Waasl.-Beveren
258,KV Kortrijk
259,Besiktas U21
260,Yesilköy
261,Türkiye U18
262,Beykozspor
263,Corluspor
264,Fenerbahce U21
265,Bakirköyspor
266,EB Eyüpspor
267,Istanbulspor
268,Sariyer
269,Kartalspor
270,Elazigspor 
271,Sanliurfaspor 
272,Özsahrayicedit
273,Kücükköyspor
274,Alibeyköy
275,Izmirspor
276,Tokatspor 
277,Ankaragücü Yth
278,Ankaragücü U21
279,Ankaragücü
280,Etimesgut Seker
281,Türk Telekom
282,Ankara Demir
283,Etimesgut Bld
284,Cankaya FK
285,Hacettepe
286,Karsiyaka
287,Göztepe
288,Celik Zenica
289,Akhisar Belediye
290,Altay SK
291,Kayserispor
292,Nazilli Bld.
293,Altinordu
294,Torbalispor
295,Bergama Bld
296,Sile Yildizspor
297,ESV Ingolstadt
298,1.FC Passau
299,Chio Waldhof 07
300,FC Bern
301,Luxembourg
302,Luxemburg
303,Karlsruher SC
304,Bayern Munich
305,Fellows ZH
306,Wr. Neustadt
307,Barmbek-U.
308,VfR Heilbronn
309,Arm. Hannover
310,Sturm Graz
311,Eisenstadt/Ritz.
312,SCC Berlin
313,Tianjin
314,Rizespor
315,SpVgg Fürth
316,Hamburger SV
317,VfB Lübeck
318,Comense
319,Milan
320,Novara
321,Liguria
322,Napoli
323,FC Chiasso
324,Sampdoria
325,AS Roma
326,Palermo
327,Conegliano
328,AC Chioggia
329,ACD Torconca
330,Juventus Youth
331,Napoli U19
332,Südtirol
333,FK Partizani
334,Vejle BK
335,Lavello
336,1. SV Jena
337,Spijkenisse
338,RVVH Ridderkerk
339,VV Zuidland
340,CVV Zwervers
341,Oud Beijerland
342,Sparta
343,Willem II
344,Feijenoord
345,BVC Amsterdam
346,DAO Argonaftis
347,Aris Voulas
348,Ermis Korydal.
349,Chalkidona
350,Aias Salaminas
351,Atrom. Piraeus
352,PAS Korinthos
353,Sunderland Res.
354,Sheff Utd
355,Austin Aztex
356,Orlando City SC
357,Orlando
358,Minnesota
359,Welling Utd.
360,Stoke U18
361,Forest Green
362,Gillingham FC
363,Barrow
364,DPMM FC
365,Meyrin FC
366,Servette U21
367,OGC Nice
368,Etoile Carouge
369,Islanders
370,Barracuda FC
371,Barnet
372,Puerto Rico FC
373,US Catanzaro Yo
374,Catanzaro
375,Pordenone
376,Reggina
377,Triestina
378,Cesena
379,Padova
380,Udinese
381,Perugia
382,Ravenna
383,Pescara
384,AC Siena
385,ASG Nocerina
386,Sestri Levante
387,Pergocrema
388,Siracusa
389,Spezia
390,Brescia U19
391,Casarano
392,Città di Lecco
393,Salernitana
394,Atletico Catania
395,Brescello
396,Fiorentina U19
397,AS Pizzighettone
398,Lecco
399,Matera
400,Pro Gorizia
401,Udinese U19
402,Modena
403,ISM Gradisca
404,Manzanese
405,Buttrio
406,Derthona
407,Casertana
408,Avellino
409,Empoli
410,Benevento
411,FC Turris 1944
412,RKC U21
413,NEC Nijmegen
414,Helmond Sport
415,TOP Oss
416,Excelsior
417,VVV-Venlo
418,RKC Waalwijk
419,Ajax U21
420,Club Brugge
421,Netherlands U20
422,Beerschot AC
423,Club Africain
